Term	Genes	FDR	Category	Description
GO:0030030	MAPK1,CDH1,MAPK3,WNT5A,IGF1R,ERBB2,NOTCH1,WNT3A,SHH,CASP3,FGF8,GSK3B,SMAD4,CTNNB1,ACTB,MTOR,NES,JUN,PTEN,SRC,CCK,BCL2,RHOA,PAX6,AKT1	3.71e-12	Process	Cell projection organization
GO:0001936	BMP4,WNT5A,STAT3,PPARG,NF1,MTOR,JUN,TGFBR1,BMP2,FGFR1,HIF1A,AKT1	4.14e-12	Process	Regulation of endothelial cell proliferation
GO:0045664	BMP4,SOX9,JAG1,WNT5A,CDH2,NOTCH1,WNT3A,SHH,SOX2,GSK3B,MTOR,PTEN,DKK1,KLF4,BMP2,BCL2,FGFR1,RHOA,PAX6,AKT1	4.7e-12	Process	Regulation of neuron differentiation
GO:0061564	MAPK1,MAPK3,WNT5A,ERBB2,NOTCH1,WNT3A,SHH,CASP3,FGF8,SMAD4,ACTB,JUN,PTEN,SRC,CCK,BCL2,PAX6	4.71e-12	Process	Axon development
GO:1901216	WNT5A,TP53,FOS,CASP3,GSK3B,CTNNB1,NF1,MTOR,JUN,DKK1,RHOA	4.75e-12	Process	Positive regulation of neuron death
GO:0001558	WNT5A,LEF1,TP53,ERBB2,WNT3A,PPARG,HNF4A,GSK3B,WT1,SMAD3,SMAD4,MTOR,TGFBR1,BCL2,RHOA,CDKN2A,AKT1	5.04e-12	Process	Regulation of cell growth
GO:0001568	MAPK1,BMP4,JAG1,LEF1,CDH2,NOTCH1,SHH,FGF8,WT1,CTNNB1,NF1,JUN,PTEN,TGFBR1,FGFR1,PAX6,HIF1A,AKT1	5.23e-12	Process	Blood vessel development
GO:0022612	BMP4,SOX9,WNT5A,NOTCH1,SHH,FGF8,SRC,BCL2,FGFR1,PAX6,ESR1	5.23e-12	Process	Gland morphogenesis
GO:0061311	SNAI1,BMP4,JAG1,WNT5A,NOTCH1,WNT3A,CTNNB1,SNAI2	5.51e-12	Process	Cell surface receptor signaling pathway involved in heart development
GO:0045844	MAPK1,GLI1,BMP4,NOTCH1,WNT3A,SHH,CTNNB1,MTOR,BCL2,FGFR1	5.54e-12	Process	Positive regulation of striated muscle tissue development
GO:0022408	BMP4,JAG1,CDH1,LEF1,ERBB2,NOTCH1,WNT1,SHH,CASP3,KLF4,BMP2,CDKN2A,AKT1	5.63e-12	Process	Negative regulation of cell-cell adhesion
GO:0048858	MAPK1,MAPK3,WNT5A,ERBB2,NOTCH1,WNT3A,SHH,FGF8,SMAD4,CTNNB1,ACTB,NES,PTEN,SRC,CCK,BCL2,RHOA,PAX6	5.67e-12	Process	Cell projection morphogenesis
GO:0002065	BMP4,JAG1,WNT5A,CDH2,NOTCH1,HNF4A,FGF8,BMP2,FGFR1,PAX6,HIF1A	6.27e-12	Process	Columnar/cuboidal epithelial cell differentiation
GO:1902532	TWIST1,SNAI1,BMP4,IGF1R,GSK3B,SMAD4,NF1,MTOR,PTEN,SRC,KLF4,SNAI2,BCL2,RHOA,ESR1,HIF1A,AKT1,MYC	6.61e-12	Process	Negative regulation of intracellular signal transduction
GO:0002376	MAPK1,NFKB1,GAPDH,BMP4,PXDN,JAG1,KRAS,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,SMAD3,CTNNB1,ACTB,MTOR,JUN,RUNX2,SRC,KLF4,TGFBR1,BCL2,RHOA,HIF1A,AKT1,SHFM1	7.61e-12	Process	Immune system process
GO:0045926	BMP4,WNT5A,TP53,NOTCH1,WNT3A,PPARG,HNF4A,WT1,SMAD3,SMAD4,PTEN,BCL2,CDKN2A,HIF1A	1.09e-11	Process	Negative regulation of growth
GO:0021536	GLI1,BMP4,CDH1,WNT5A,WNT1,SHH,FGF8,SOX2,BMP2,PAX6	1.16e-11	Process	Diencephalon development
GO:0042326	TWIST1,BMP4,STAT3,IGF1R,CASP3,SMAD4,NF1,MTOR,JUN,PTEN,DKK1,KLF4,RHOA,PAX6,CDKN2A,AKT1,MYC	1.22e-11	Process	Negative regulation of phosphorylation
GO:0031128	BMP4,SOX9,POU5F1,WNT1,FGF8,CTNNB1,BMP2,FGFR1	1.5e-11	Process	Developmental induction
GO:0006464	FGF4,MAPK1,NFKB1,CCND1,GAPDH,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,LEF1,IGF1R,CDH2,TP53,ERBB2,FGF8,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,PTEN,SRC,TGFBR1,BMP2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	1.54e-11	Process	Cellular protein modification process
GO:0006915	FGF4,MAPK1,NFKB1,GAPDH,MAPK3,LEF1,TP53,NOTCH1,SHH,CASP3,GSK3B,SMAD3,NF1,MTOR,JUN,PTEN,TGFBR1,CCK,BCL2,CDKN2A,AKT1,MYC	1.73e-11	Process	Apoptotic process
GO:0043170	FGF4,MAPK1,NFKB1,CCND1,GAPDH,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,PPARG,WNT1,SHH,FOS,CASP3,HNF4A,FGF8,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,PXDNL,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,KLF4,TGFBR1,BMP2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	1.88e-11	Process	Macromolecule metabolic process
GO:0007548	CCND1,SOX9,WNT5A,SHH,CASP3,HNF4A,FGF8,WT1,SMAD4,CTNNB1,SRC,TGFBR1,BCL2,ESR1	1.96e-11	Process	Sex differentiation
GO:0043412	FGF4,MAPK1,NFKB1,CCND1,GAPDH,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,LEF1,IGF1R,CDH2,TP53,ERBB2,FOS,FGF8,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,PTEN,SRC,TGFBR1,BMP2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	2.06e-11	Process	Macromolecule modification
GO:0014031	MAPK1,TWIST1,SOX9,JAG1,MAPK3,NOTCH1,SHH,SNAI2,BCL2,HIF1A	2.3e-11	Process	Mesenchymal cell development
GO:0051336	GAPDH,MAPK3,WNT5A,STAT3,LEF1,TP53,ERBB2,WNT3A,PPARG,SOX2,GSK3B,SMAD3,NF1,MTOR,JUN,SRC,KLF4,BMP2,CCK,FGFR1,RHOA,ESR1,CDKN2A,AKT1,MYC	2.61e-11	Process	Regulation of hydrolase activity
GO:0021915	TWIST1,BMP4,WNT5A,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,NF1,PAX6,HIF1A	2.72e-11	Process	Neural tube development
GO:0016043	MAPK1,GAPDH,SNAI1,SOX9,PXDN,KRAS,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,PTEN,SRC,DKK1,TGFBR1,CCK,SNAI2,BCL2,RHOA,PAX6,ESR1,CDKN2A,AKT1,GFAP,MYC,SHFM1	2.85e-11	Process	Cellular component organization
GO:0045927	MAPK1,GLI1,LEF1,ERBB2,NOTCH1,WNT3A,FGF8,WT1,MTOR,TGFBR1,BCL2,FGFR1,RHOA,AKT1	2.85e-11	Process	Positive regulation of growth
GO:1901862	TWIST1,BMP4,LEF1,SHH,FGF8,SMAD4,PTEN,DKK1,BMP2	2.85e-11	Process	Negative regulation of muscle tissue development
GO:1901215	KRAS,STAT3,WNT3A,WNT1,FGF8,GSK3B,CTNNB1,NES,JUN,BCL2,RHOA,HIF1A,AKT1	2.92e-11	Process	Negative regulation of neuron death
GO:0043393	BMP4,MAPK3,WNT5A,LEF1,WNT3A,GSK3B,ACTB,NES,SRC,DKK1,TGFBR1,BMP2,AKT1	3.08e-11	Process	Regulation of protein binding
GO:0042476	FGF4,TWIST1,BMP4,LEF1,SHH,FGF8,CTNNB1,RUNX2,SRC,BMP2,RHOA	3.37e-11	Process	Odontogenesis
GO:0051091	NFKB1,KRAS,WNT5A,STAT3,WNT3A,PPARG,WNT1,SHH,WNT10B,SMAD3,CTNNB1,PTEN,ESR1,AKT1	3.41e-11	Process	Positive regulation of DNA-binding transcription factor activity
GO:0033043	MAPK1,TWIST1,BMP4,POU5F1,MAPK3,WNT5A,CDH2,TP53,WNT3A,FGF8,GSK3B,SMAD3,SMAD4,CTNNB1,MTOR,NES,SRC,TGFBR1,SNAI2,BCL2,RHOA,CDKN2A,HIF1A,AKT1,MYC	3.7e-11	Process	Regulation of organelle organization
GO:0048708	MAPK1,SOX9,KRAS,MAPK3,STAT3,NOTCH1,SHH,NF1,PAX6	3.76e-11	Process	Astrocyte differentiation
GO:1903827	MAPK1,BMP4,CDH1,WNT5A,CDH2,TP53,ERBB2,WNT3A,SHH,GSK3B,SMAD3,CTNNB1,ACTB,NF1,SRC,BCL2,CDKN2A,AKT1	3.81e-11	Process	Regulation of cellular protein localization
GO:0048514	BMP4,JAG1,LEF1,CDH2,NOTCH1,SHH,FGF8,WT1,CTNNB1,NF1,JUN,PTEN,TGFBR1,FGFR1,HIF1A,AKT1	4.05e-11	Process	Blood vessel morphogenesis
GO:0045786	CCND1,BMP4,TP53,NOTCH1,WNT10B,CASP3,SOX2,SMAD3,CTNNB1,MTOR,PTEN,KLF4,TGFBR1,BMP2,BCL2,CDKN2A,MYC,SHFM1	4.13e-11	Process	Negative regulation of cell cycle
GO:1903706	BMP4,JAG1,STAT3,LEF1,ERBB2,NOTCH1,SHH,FOS,CTNNB1,NF1,MTOR,JUN,RHOA,CDKN2A,HIF1A,MYC,SHFM1	4.86e-11	Process	Regulation of hemopoiesis
GO:0044087	SNAI1,SOX9,POU5F1,WNT5A,TP53,NOTCH1,WNT3A,WNT1,WNT10B,GSK3B,SMAD3,SMAD4,MTOR,PTEN,SRC,DKK1,TGFBR1,CCK,SNAI2,RHOA,ESR1,GFAP	4.89e-11	Process	Regulation of cellular component biogenesis
GO:0048812	MAPK1,MAPK3,WNT5A,ERBB2,NOTCH1,WNT3A,SHH,FGF8,SMAD4,CTNNB1,ACTB,PTEN,SRC,CCK,BCL2,RHOA,PAX6	5.15e-11	Process	Neuron projection morphogenesis
GO:0009798	BMP4,SMAD2,WNT5A,NOTCH1,WNT1,SHH,WT1,SMAD4,CTNNB1,PAX6	5.25e-11	Process	Axis specification
GO:0003203	TWIST1,SNAI1,SOX9,NOTCH1,FGF8,SMAD4,BMP2,SNAI2	5.38e-11	Process	Endocardial cushion morphogenesis
GO:0030879	MAPK1,CCND1,BMP4,SOX9,WNT5A,LEF1,WNT3A,SRC,ESR1,HIF1A,AKT1	5.38e-11	Process	Mammary gland development
GO:0021543	LEF1,CDH2,WNT3A,CASP3,FGF8,GSK3B,CTNNB1,NF1,PTEN,RHOA,PAX6,HIF1A	5.41e-11	Process	Pallium development
GO:0051216	FGF4,SNAI1,BMP4,SOX9,MAPK3,WNT5A,WNT10B,RUNX2,BMP2,SNAI2,FGFR1,HIF1A	5.41e-11	Process	Cartilage development
GO:0061448	FGF4,SNAI1,BMP4,SOX9,MAPK3,WNT5A,NOTCH1,WNT10B,RUNX2,BMP2,SNAI2,FGFR1,HIF1A	5.43e-11	Process	Connective tissue development
GO:0016055	CCND1,GLI1,WNT5A,LEF1,WNT3A,WNT1,SHH,WNT10B,GSK3B,CTNNB1,PTEN,DKK1,KLF4,RHOA,SHFM1	6.29e-11	Process	Wnt signaling pathway
GO:0060021	TWIST1,SNAI1,SMAD2,WNT5A,LEF1,WNT3A,SHH,SMAD4,TGFBR1,SNAI2	6.98e-11	Process	Roof of mouth development
GO:0050680	BMP4,SOX9,WNT5A,PPARG,WNT10B,SOX2,NF1,PTEN,TGFBR1,SNAI2,PAX6	7.81e-11	Process	Negative regulation of epithelial cell proliferation
GO:0045598	JAG1,WNT5A,WNT3A,PPARG,WNT1,WNT10B,SMAD3,MTOR,BMP2,SNAI2,AKT1	9.09e-11	Process	Regulation of fat cell differentiation
GO:0120036	MAPK1,CDH1,MAPK3,WNT5A,IGF1R,ERBB2,NOTCH1,WNT3A,SHH,CASP3,FGF8,GSK3B,SMAD4,CTNNB1,ACTB,MTOR,JUN,PTEN,SRC,CCK,BCL2,RHOA,PAX6	9.57e-11	Process	Plasma membrane bounded cell projection organization
GO:0060438	MAPK1,BMP4,SOX9,MAPK3,LEF1,SHH,CTNNB1	9.6e-11	Process	Trachea development
GO:0090090	GLI1,SOX9,WNT5A,CDH2,NOTCH1,SHH,SOX2,GSK3B,DKK1,BMP2,SNAI2,SHFM1	1.11e-10	Process	Negative regulation of canonical Wnt signaling pathway
GO:0046620	MAPK1,GLI1,NOTCH1,FGF8,WT1,MTOR,PTEN,TGFBR1,FGFR1,AKT1	1.12e-10	Process	Regulation of organ growth
GO:0071396	MAPK1,NFKB1,BMP4,SOX9,MAPK3,WNT5A,LEF1,WNT3A,PPARG,WNT10B,HNF4A,CTNNB1,SRC,KLF4,RHOA,ESR1,AKT1	1.33e-10	Process	Cellular response to lipid
GO:0090092	BMP4,POU5F1,SMAD2,WNT5A,TP53,NOTCH1,WNT1,SHH,SMAD3,SMAD4,DKK1,TGFBR1,BMP2	1.54e-10	Process	Regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0009894	GAPDH,TWIST1,SOX9,CDH1,MAPK3,WNT5A,STAT3,TP53,WNT1,SHH,WNT10B,CASP3,GSK3B,SMAD3,MTOR,PTEN,BCL2,CDKN2A,HIF1A,AKT1,GFAP,SHFM1	1.68e-10	Process	Regulation of catabolic process
GO:0001707	SNAI1,BMP4,SMAD2,WNT5A,LEF1,WNT3A,SMAD3,DKK1,KLF4	1.75e-10	Process	Mesoderm formation
GO:0040013	JAG1,CDH1,WNT5A,STAT3,NOTCH1,WNT3A,PPARG,SHH,NF1,PTEN,KLF4,BCL2,RHOA,AKT1	1.78e-10	Process	Negative regulation of locomotion
GO:0051271	JAG1,CDH1,WNT5A,STAT3,NOTCH1,WNT3A,PPARG,SHH,NF1,PTEN,KLF4,BCL2,RHOA,AKT1	1.85e-10	Process	Negative regulation of cellular component movement
GO:0032880	MAPK1,GAPDH,BMP4,CDH1,WNT5A,CDH2,TP53,ERBB2,WNT3A,SHH,HNF4A,GSK3B,SMAD3,CTNNB1,ACTB,NF1,SRC,BCL2,CDKN2A,HIF1A,AKT1	1.94e-10	Process	Regulation of protein localization
GO:0072091	NANOG,TP53,NOTCH1,SHH,CTNNB1,NF1,SNAI2,PAX6,HIF1A	1.96e-10	Process	Regulation of stem cell proliferation
GO:1904888	FGF4,TWIST1,BMP4,SMAD2,FGF8,SMAD3,CTNNB1,RUNX2,TGFBR1	1.96e-10	Process	Cranial skeletal system development
GO:0007409	MAPK1,MAPK3,WNT5A,ERBB2,NOTCH1,WNT3A,SHH,FGF8,SMAD4,ACTB,PTEN,SRC,CCK,BCL2,PAX6	2.06e-10	Process	Axonogenesis
GO:0021983	GLI1,BMP4,CDH1,WNT5A,FGF8,SOX2,BMP2,PAX6	2.22e-10	Process	Pituitary gland development
GO:0030850	GLI1,BMP4,SOX9,NOTCH1,SHH,CTNNB1,PTEN,ESR1	2.22e-10	Process	Prostate gland development
GO:0051962	GLI1,BMP4,WNT5A,NOTCH1,WNT3A,PPARG,SHH,CTNNB1,MTOR,PTEN,DKK1,BMP2,BCL2,FGFR1,RHOA,PAX6,HIF1A	2.22e-10	Process	Positive regulation of nervous system development
GO:0061035	BMP4,SOX9,WNT5A,SMAD3,CTNNB1,RUNX2,TGFBR1,BMP2,SNAI2	2.44e-10	Process	Regulation of cartilage development
GO:0048839	BMP4,SOX9,JAG1,WNT5A,NOTCH1,WNT3A,WNT1,SHH,FGF8,SOX2,BMP2,FGFR1	2.55e-10	Process	Inner ear development
GO:0071560	SOX9,SMAD2,WNT5A,TP53,FOS,SMAD3,SMAD4,JUN,SRC,TGFBR1,RHOA	2.72e-10	Process	Cellular response to transforming growth factor beta stimulus
GO:0051146	BMP4,KRAS,CDH2,WNT3A,WNT1,SHH,WNT10B,CASP3,WT1,MTOR,BMP2,AKT1	2.84e-10	Process	Striated muscle cell differentiation
GO:0060425	MAPK1,BMP4,SOX9,KRAS,MAPK3,SHH,FGF8,CTNNB1	3.06e-10	Process	Lung morphogenesis
GO:0048592	TWIST1,BMP4,SOX9,JAG1,WNT5A,STAT3,CTNNB1,NF1,PAX6,PROM1,HIF1A	3.1e-10	Process	Eye morphogenesis
GO:0003151	TWIST1,BMP4,JAG1,WNT5A,NOTCH1,FGF8,SMAD4,JUN,HIF1A	3.4e-10	Process	Outflow tract morphogenesis
GO:0031016	BMP4,SOX9,SMAD2,WNT5A,SHH,HNF4A,CTNNB1,PAX6,AKT1	3.4e-10	Process	Pancreas development
GO:0050769	BMP4,WNT5A,NOTCH1,WNT3A,PPARG,SHH,CTNNB1,MTOR,PTEN,DKK1,BMP2,BCL2,FGFR1,RHOA,PAX6,HIF1A	3.48e-10	Process	Positive regulation of neurogenesis
GO:0048545	CCND1,BMP4,KRAS,LEF1,NOTCH1,PPARG,FOS,CASP3,HNF4A,CTNNB1,SRC,BCL2,RHOA,ESR1	3.51e-10	Process	Response to steroid hormone
GO:0006351	NFKB1,CCND1,SOX9,MAPK3,STAT3,TP53,NOTCH1,PPARG,FOS,HNF4A,SMAD4,JUN,RUNX2,PTEN,KLF4,PAX6,ESR1	3.72e-10	Process	Transcription, DNA-templated
GO:0051147	BMP4,CDH2,NOTCH1,WNT3A,SHH,SMAD4,CTNNB1,MTOR,DKK1,BMP2,BCL2	3.73e-10	Process	Regulation of muscle cell differentiation
GO:0006366	NFKB1,CCND1,SOX9,STAT3,NOTCH1,PPARG,FOS,HNF4A,SMAD4,JUN,RUNX2,PTEN,KLF4,PAX6,ESR1	4.2e-10	Process	Transcription by RNA polymerase II
GO:0046661	CCND1,SOX9,WNT5A,SHH,FGF8,WT1,SMAD4,CTNNB1,TGFBR1,BCL2,ESR1	4.22e-10	Process	Male sex differentiation
GO:0019538	FGF4,MAPK1,NFKB1,CCND1,GAPDH,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,LEF1,IGF1R,CDH2,TP53,ERBB2,PPARG,WNT1,SHH,CASP3,FGF8,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,PTEN,SRC,TGFBR1,BMP2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	4.57e-10	Process	Protein metabolic process
GO:2001233	SNAI1,BMP4,TP53,GSK3B,SMAD3,CTNNB1,NF1,PTEN,SRC,TGFBR1,SNAI2,BCL2,FGFR1,HIF1A,AKT1	4.6e-10	Process	Regulation of apoptotic signaling pathway
GO:0001933	TWIST1,BMP4,IGF1R,CASP3,SMAD4,NF1,MTOR,JUN,PTEN,DKK1,KLF4,PAX6,CDKN2A,AKT1,MYC	4.91e-10	Process	Negative regulation of protein phosphorylation
GO:0002521	BMP4,STAT3,LEF1,TP53,PPARG,WNT1,SHH,CTNNB1,MTOR,JUN,RUNX2,SRC,BCL2,RHOA	5.02e-10	Process	Leukocyte differentiation
GO:0051345	MAPK3,WNT5A,STAT3,ERBB2,WNT3A,PPARG,GSK3B,SMAD3,NF1,MTOR,JUN,BMP2,CCK,FGFR1,RHOA,ESR1,CDKN2A,AKT1,MYC	5.07e-10	Process	Positive regulation of hydrolase activity
GO:0060317	SNAI1,NOTCH1,FGF8,SMAD4,TGFBR1,BMP2,SNAI2	5.53e-10	Process	Cardiac epithelial to mesenchymal transition
GO:0006928	MAPK1,TWIST1,SNAI1,MAPK3,WNT5A,LEF1,CDH2,ERBB2,NOTCH1,WNT3A,SHH,FGF8,SMAD4,CTNNB1,ACTB,PTEN,SRC,TGFBR1,CCK,SNAI2,FGFR1,RHOA,PAX6,HIF1A,AKT1	6.31e-10	Process	Movement of cell or subcellular component
GO:0008544	GLI1,SNAI1,SOX9,JAG1,WNT5A,NOTCH1,SHH,CASP3,CTNNB1,NF1,DKK1,KLF4,BCL2,FGFR1,PAX6	6.31e-10	Process	Epidermis development
GO:0043281	LEF1,WNT3A,PPARG,SOX2,SMAD3,SRC,KLF4,CCK,RHOA,CDKN2A,AKT1,MYC	6.31e-10	Process	Regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0046622	MAPK1,GLI1,NOTCH1,FGF8,WT1,MTOR,FGFR1,AKT1	6.31e-10	Process	Positive regulation of organ growth
GO:0071453	TWIST1,TP53,NOTCH1,PPARG,MTOR,PTEN,SRC,BCL2,HIF1A,AKT1,MYC,SHFM1	6.31e-10	Process	Cellular response to oxygen levels
GO:0010594	FGF4,BMP4,WNT5A,NOTCH1,PPARG,NF1,KLF4,FGFR1,RHOA,HIF1A,AKT1	6.79e-10	Process	Regulation of endothelial cell migration
GO:0071902	MAPK1,CCND1,BMP4,KRAS,MAPK3,WNT5A,ERBB2,SRC,DKK1,TGFBR1,BMP2,FGFR1,RHOA,AKT1	7.12e-10	Process	Positive regulation of protein serine/threonine kinase activity
GO:0045843	TWIST1,BMP4,LEF1,FGF8,SMAD4,PTEN,DKK1,BMP2	7.19e-10	Process	Negative regulation of striated muscle tissue development
GO:0044267	FGF4,MAPK1,NFKB1,CCND1,GAPDH,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,LEF1,IGF1R,CDH2,TP53,ERBB2,WNT1,FGF8,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,PTEN,SRC,TGFBR1,BMP2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	7.27e-10	Process	Cellular protein metabolic process
GO:0051972	MAPK1,MAPK3,TP53,PPARG,CTNNB1,SRC,KLF4,MYC	8.26e-10	Process	Regulation of telomerase activity
GO:0045665	SOX9,JAG1,WNT5A,NOTCH1,WNT3A,SHH,SOX2,GSK3B,PTEN,DKK1,RHOA,PAX6	8.37e-10	Process	Negative regulation of neuron differentiation
GO:0003180	TWIST1,SNAI1,BMP4,SOX9,JAG1,NOTCH1,SNAI2	8.38e-10	Process	Aortic valve morphogenesis
GO:0048593	TWIST1,BMP4,SOX9,JAG1,WNT5A,CTNNB1,NF1,PAX6,PROM1,HIF1A	8.38e-10	Process	Camera-type eye morphogenesis
GO:0060795	NANOG,BMP4,POU5F1,WNT3A,SOX2,CTNNB1,KLF4	8.38e-10	Process	Cell fate commitment involved in formation of primary germ layer
GO:0031400	TWIST1,BMP4,IGF1R,CASP3,GSK3B,SMAD4,CTNNB1,NF1,MTOR,JUN,PTEN,DKK1,KLF4,PAX6,CDKN2A,AKT1,MYC	8.68e-10	Process	Negative regulation of protein modification process
GO:0048145	WNT5A,TP53,PPARG,WNT1,CTNNB1,NF1,JUN,ESR1,MYC	9.07e-10	Process	Regulation of fibroblast proliferation
GO:0042592	MAPK1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,NOTCH1,PPARG,CASP3,HNF4A,SMAD3,SMAD4,CTNNB1,ACTB,SRC,CCK,BCL2,PAX6,ESR1,PROM1,HIF1A,AKT1,MYC	9.9e-10	Process	Homeostatic process
GO:0060341	MAPK1,BMP4,CDH1,MAPK3,WNT5A,CDH2,TP53,ERBB2,WNT3A,SHH,GSK3B,SMAD3,CTNNB1,ACTB,NF1,PTEN,SRC,BCL2,CDKN2A,HIF1A,AKT1	9.9e-10	Process	Regulation of cellular localization
GO:0001656	BMP4,SOX9,SHH,FGF8,WT1,SMAD4,CTNNB1,NF1,BCL2	9.95e-10	Process	Metanephros development
GO:0007169	FGF4,MAPK1,SOX9,MAPK3,STAT3,IGF1R,ERBB2,CASP3,FGF8,GSK3B,ACTB,PTEN,SRC,FGFR1,RHOA,AKT1	9.95e-10	Process	Transmembrane receptor protein tyrosine kinase signaling pathway
GO:0051896	FGF4,IGF1R,ERBB2,FGF8,MTOR,PTEN,SRC,KLF4,TGFBR1,FGFR1,ESR1,AKT1	9.98e-10	Process	Regulation of protein kinase B signaling
GO:0035116	FGF4,TWIST1,BMP4,NOTCH1,SHH,FGF8,CTNNB1	1.02e-09	Process	Embryonic hindlimb morphogenesis
GO:0014033	MAPK1,TWIST1,SOX9,JAG1,MAPK3,SHH,SMAD4,SNAI2,HIF1A	1.09e-09	Process	Neural crest cell differentiation
GO:0051050	MAPK1,GAPDH,CDH1,WNT5A,CDH2,TP53,ERBB2,WNT3A,PPARG,SHH,GSK3B,SMAD3,SMAD4,ACTB,SRC,CCK,BCL2,FGFR1,HIF1A,AKT1	1.17e-09	Process	Positive regulation of transport
GO:2000179	GLI1,NOTCH1,WNT3A,SHH,CTNNB1,NES,PAX6,HIF1A	1.21e-09	Process	Positive regulation of neural precursor cell proliferation
GO:0071542	WNT5A,WNT3A,WNT1,SHH,FGF8,CTNNB1,HIF1A	1.24e-09	Process	Dopaminergic neuron differentiation
GO:0072089	WNT5A,LEF1,WNT3A,WNT1,SHH,WNT10B,NES,FGFR1	1.37e-09	Process	Stem cell proliferation
GO:0097305	CCND1,CDH1,SMAD2,STAT3,PPARG,FOS,CTNNB1,PTEN,KLF4,TGFBR1,RHOA,AKT1	1.37e-09	Process	Response to alcohol
GO:0001889	CCND1,GLI1,SOX9,KRAS,NOTCH1,WNT1,HNF4A,SMAD3,NF1,JUN	1.45e-09	Process	Liver development
GO:0033674	MAPK1,CCND1,BMP4,KRAS,MAPK3,WNT5A,IGF1R,ERBB2,WNT3A,MTOR,SRC,DKK1,TGFBR1,BMP2,FGFR1,RHOA,AKT1	1.45e-09	Process	Positive regulation of kinase activity
GO:0006807	FGF4,MAPK1,NFKB1,CCND1,GAPDH,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,PPARG,WNT1,SHH,FOS,CASP3,HNF4A,FGF8,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,PXDNL,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,KLF4,TGFBR1,BMP2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	1.5e-09	Process	Nitrogen compound metabolic process
GO:0052547	GAPDH,MAPK3,STAT3,LEF1,WNT3A,PPARG,SOX2,SMAD3,SRC,KLF4,CCK,RHOA,CDKN2A,AKT1,MYC	1.5e-09	Process	Regulation of peptidase activity
GO:0062012	NFKB1,TWIST1,SNAI1,SOX9,STAT3,TP53,PPARG,GSK3B,MTOR,SRC,BMP2,SNAI2,HIF1A,AKT1,SHFM1	1.5e-09	Process	Regulation of small molecule metabolic process
GO:0060688	BMP4,SOX9,WNT5A,SHH,CTNNB1,SNAI2,FGFR1,ESR1	1.53e-09	Process	Regulation of morphogenesis of a branching structure
GO:0048706	TWIST1,BMP4,SMAD2,WNT5A,SHH,FGF8,SMAD3,CTNNB1,RUNX2,TGFBR1	1.54e-09	Process	Embryonic skeletal system development
GO:1900180	MAPK1,BMP4,CDH1,SHH,GSK3B,SMAD3,NF1,SRC,CDKN2A,AKT1	1.65e-09	Process	Regulation of protein localization to nucleus
GO:0010638	MAPK1,MAPK3,WNT5A,TP53,FGF8,GSK3B,SMAD3,SMAD4,CTNNB1,MTOR,NES,SRC,TGFBR1,SNAI2,BCL2,RHOA,HIF1A	1.77e-09	Process	Positive regulation of organelle organization
